id,batch,language_pair,priority_order,country_focus,category,term_or_condition_ru,term_or_condition_en,question_ru,answer_ru,question_en,answer_en,sources_countries,sources_urls,medical_disclaimer
1,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (амбулаторный старт),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (амбулаторный старт),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
2,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (после госпитализации),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (после госпитализации),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
3,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (при полипрагмазии),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (при полипрагмазии),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
4,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (при ожирении),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (при ожирении),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
5,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (при ХБП),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (при ХБП),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
6,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (при высоком СС-риске),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (при высоком СС-риске),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
7,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (при ограниченных ресурсах),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (при ограниченных ресурсах),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
8,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (для профилактики осложнений),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (для профилактики осложнений),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
9,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (долгосрочное ведение),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (долгосрочное ведение),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
10,1-1000,ru|en,US>KR>JP>IL>DE>UK>IT,США,Метаболические / Metabolic,Сахарный диабет 2 типа,Type 2 diabetes,Какова стартовая тактика при Сахарный диабет 2 типа у пациента старше 40 лет? (контроль безопасности терапии),"Подтвердить HbA1c/глюкозу, оценить ASCVD/CKD/HF риск; старт: питание, физнагрузка, снижение веса. Препарат 1-й линии обычно метформин при переносимости и eGFR>=30. При ASCVD/HF/CKD приоритет GLP-1 RA и/или SGLT2i независимо от HbA1c; целевой HbA1c индивидуально (часто <7%). Добавлять терапию каждые ~3 месяца до достижения цели; контролировать АД, липиды, почки, стопы, глаза, вакцинацию. Уточнить предпочтения пациента, стоимость, приверженность и риски взаимодействий; пересмотр плана каждые 3–6 месяцев или раньше при декомпенсации.",What is initial management for Type 2 diabetes in adults over 40? (контроль безопасности терапии),"Confirm diagnosis with HbA1c/plasma glucose; assess ASCVD/CKD/HF. Start lifestyle and weight strategy. First-line is usually metformin when tolerated and eGFR>=30. If ASCVD/HF/CKD, prioritize GLP-1 RA and/or SGLT2 inhibitor independent of HbA1c. Individualize A1c target (often <7%), intensify every ~3 months, and manage BP/lipids/kidney/retina/feet/vaccines. Include patient preferences, cost/access, adherence, and interaction risk; review every 3–6 months or earlier if unstable.",США: ADA/ACC-AHA/AHA-ASA/USPSTF/NCCN/AASLD/GOLD; Южная Корея: KDA/KSH/KSN; Япония: JDS/JCS/JSN/JSGE; Израиль: MoH + societies; Германия: AWMF; Великобритания: NICE/SIGN; Италия: ISS + societies,https://diabetesjournals.org/care/issue; https://www.acc.org/guidelines; https://www.heart.org/en/professional; https://www.uspreventiveservicestaskforce.org; https://www.nccn.org/guidelines; https://www.aasld.org/practice-guidelines; https://goldcopd.org; https://kdigo.org/guidelines; https://www.nice.org.uk/guidance,Educational KB draft for clinician-supervised use; not standalone medical advice.
